PLAYER,TEAM,AGE,TOTAL FG,FGM01,FGA01,FGP01,FGM02,FGA02,FGP02,FGM03,FGA03,FGP03,FGM04,FGA04,FGP04,FGM05,FGA05,FGP05,FGM06,FGA06,FGP06,FGM07,FGA07,FGP07,,
Joel Embiid,PHI,27,572,101,151,66.9,67,147,45.6,93,180,51.7,1,1,100,1,1,100,2,2,100,36,92,39.1,,
John Collins,ATL,23,611,177,245,72.2,53,125,42.4,43,83,51.8,7,11,63.6,6,27,22.2,13,38,34.2,47,120,39.2,,
John Wall,HOU,30,572,107,198,54,26,65,40,34,115,29.6,2,7,28.6,3,6,50,5,13,38.5,57,181,31.5,,
Jonas Valanciunas,MEM,28,502,170,262,64.9,85,176,48.3,12,25,48,0,2,0,2,5,40,2,7,28.6,10,32,31.3,,
Jordan Clarkson,UTA,28,742,57,92,62,97,190,51.1,9,28,32.1,20,58,34.5,6,26,23.1,26,84,31,125,348,35.9,,
Jordan Poole,GSW,21,242,37,49,75.5,14,36,38.9,7,20,35,6,9,66.7,4,9,44.4,10,18,55.6,39,119,32.8,,
Josh Hart,NOP,26,343,69,109,63.3,10,20,50,9,22,40.9,6,32,18.8,14,37,37.8,20,69,29,42,123,34.1,,
Josh Jackson,DET,24,498,107,171,62.6,28,95,29.5,23,54,42.6,10,26,38.5,7,27,25.9,17,53,32.1,35,125,28,,
Josh Richardson,DAL,27,404,50,72,69.4,35,77,45.5,29,67,43.3,7,21,33.3,3,14,21.4,10,35,28.6,54,153,35.3,,
Jrue Holiday,MIL,30,504,113,170,66.5,50,99,50.5,23,54,42.6,11,24,45.8,5,21,23.8,16,45,35.6,55,136,40.4,,
Julius Randle,NYK,26,882,120,203,59.1,85,191,44.5,104,243,42.8,15,31,48.4,13,30,43.3,28,61,45.9,73,184,39.7,,
Justin Holiday,IND,32,438,50,82,61,2,10,20,9,28,32.1,29,62,46.8,25,66,37.9,54,128,42.2,68,190,35.8,,
Justin Jackson,OKC,26,212,27,39,69.2,18,40,45,8,23,34.8,2,14,14.3,2,6,33.3,4,20,20,29,90,32.2,,
Karl-Anthony Towns,MIN,25,550,130,197,66,39,91,42.9,26,74,35.1,1,7,14.3,4,8,50,5,15,33.3,68,173,39.3,,
Kawhi Leonard,LAC,29,766,120,159,75.5,101,201,50.2,92,201,45.8,11,21,52.4,8,15,53.3,19,36,52.8,62,169,36.7,,
Keldon Johnson,SAS,21,475,147,243,60.5,28,86,32.6,11,26,42.3,6,20,30,4,12,33.3,10,32,31.3,30,88,34.1,,
Kelly Olynyk,HOU,29,439,88,113,77.9,17,37,45.9,5,14,35.7,6,34,17.6,8,21,38.1,14,55,25.5,77,220,35,,
Kelly Oubre Jr.,GSW,25,631,133,213,62.4,55,136,40.4,13,39,33.3,15,40,37.5,21,53,39.6,36,93,38.7,38,150,25.3,,
Kemba Walker,BOS,30,474,52,76,68.4,24,67,35.8,26,84,31,1,5,20,0,3,0,1,8,12.5,86,239,36,,
Kendrick Nunn,MIA,25,432,73,115,63.5,26,58,44.8,22,53,41.5,8,25,32,5,14,35.7,13,39,33.3,64,167,38.3,,
Kenrich Williams,OKC,26,281,76,106,71.7,27,54,50,19,42,45.2,12,21,57.1,8,13,61.5,20,34,58.8,15,45,33.3,,
Kent Bazemore,GSW,31,230,36,56,64.3,16,34,47.1,8,29,27.6,19,41,46.3,7,24,29.2,26,65,40,16,46,34.8,,
Kentavious Caldwell-Pope,LAL,28,314,46,84,54.8,4,19,21.1,11,38,28.9,13,39,33.3,19,40,47.5,32,79,40.5,36,94,38.3,,
Kevin Durant,BKN,32,359,47,64,73.4,35,73,47.9,57,109,52.3,1,3,33.3,4,5,80,5,8,62.5,44,105,41.9,,
Kevin Huerter,ATL,22,522,42,72,58.3,45,107,42.1,28,58,48.3,10,23,43.5,15,36,41.7,25,59,42.4,78,226,34.5,,
Khem Birch,ORL,28,207,49,81,60.5,29,77,37.7,12,29,41.4,2,14,14.3,2,4,50,4,18,22.2,0,2,0,,
Khris Middleton,MIL,29,738,86,135,63.7,69,134,51.5,100,226,44.2,6,19,31.6,13,21,61.9,19,40,47.5,86,203,42.4,,
Kira Lewis Jr.,NOP,20,205,46,78,59,13,48,27.1,4,11,36.4,3,12,25,2,5,40,5,17,29.4,19,51,37.3,,
Kristaps Porzingis,DAL,25,496,87,122,71.3,39,91,42.9,40,90,44.4,5,8,62.5,4,7,57.1,9,15,60,61,178,34.3,,
Kyle Anderson,MEM,27,431,54,85,63.5,64,124,51.6,27,57,47.4,16,44,36.4,12,33,36.4,28,77,36.4,31,88,35.2,,
Kyle Kuzma,LAL,25,548,105,159,66,22,62,35.5,17,57,29.8,16,42,38.1,15,42,35.7,31,84,36.9,66,186,35.5,,
Kyle Lowry,TOR,35,505,62,98,63.3,23,61,37.7,29,77,37.7,8,15,53.3,3,7,42.9,11,22,50,95,247,38.5,,
Kyrie Irving,BKN,29,761,108,172,62.8,99,184,53.8,84,150,56,4,9,44.4,4,14,28.6,8,23,34.8,92,232,39.7,,
LaMarcus Aldridge,BKN,35,276,26,43,60.5,9,31,29,63,124,50.8,3,9,33.3,3,6,50,6,15,40,23,63,36.5,,
LaMelo Ball,CHA,19,525,108,188,57.4,32,78,41,16,44,36.4,7,22,31.8,6,17,35.3,13,39,33.3,68,176,38.6,,
Landry Shamet,BKN,24,272,14,31,45.2,6,13,46.2,10,26,38.5,9,24,37.5,14,30,46.7,23,54,42.6,56,148,37.8,,
Larry Nance Jr.,CLE,28,236,58,87,66.7,14,35,40,7,19,36.8,4,15,26.7,3,7,42.9,7,22,31.8,29,73,39.7,,
Lauri Markkanen,CHI,23,345,70,101,69.3,24,49,49,1,11,9.1,13,25,52,7,17,41.2,20,42,47.6,50,142,35.2,,
LeBron James,LAL,36,756,198,262,75.6,41,90,45.6,51,138,37,6,12,50,3,8,37.5,9,20,45,89,246,36.2,,
Lonnie Walker IV,SAS,22,385,57,104,54.8,17,44,38.6,27,61,44.3,8,18,44.4,4,17,23.5,12,35,34.3,51,141,36.2,,
Lonzo Ball,NOP,23,477,53,90,58.9,12,40,30,17,38,44.7,20,43,46.5,13,28,46.4,33,71,46.5,89,238,37.4,,
Lou Williams,ATL,34,470,44,76,57.9,56,132,42.4,49,139,35.3,11,24,45.8,5,14,35.7,16,38,42.1,32,85,37.6,,
Luguentz Dort,OKC,21,459,72,138,52.2,21,67,31.3,5,10,50,9,22,40.9,10,23,43.5,19,45,42.2,60,199,30.2,,
Luka Doncic,DAL,22,919,143,214,66.8,110,227,48.5,60,122,49.2,2,5,40,2,2,100,4,7,57.1,131,349,37.5,,
Luke Kennard,LAC,24,290,23,35,65.7,22,45,48.9,21,51,41.2,15,31,48.4,10,24,41.7,25,55,45.5,50,104,48.1,,
Malcolm Brogdon,IND,28,771,145,276,52.5,36,84,42.9,54,118,45.8,10,20,50,7,15,46.7,17,35,48.6,101,258,39.1,,
Malik Beasley,MIN,24,600,77,139,55.4,33,82,40.2,27,60,45,27,54,50,16,36,44.4,43,90,47.8,84,229,36.7,,
Malik Monk,CHA,23,322,52,91,57.1,16,40,40,10,26,38.5,10,16,62.5,7,13,53.8,17,29,58.6,53,136,39,,
Marcus Morris Sr.,LAC,31,390,18,35,51.4,23,59,39,41,94,43.6,25,47,53.2,15,25,60,40,72,55.6,56,130,43.1,,
Marcus Smart,BOS,27,319,34,69,49.3,18,41,43.9,19,37,51.4,8,17,47.1,4,8,50,12,25,48,47,147,32,,
Markieff Morris,LAL,31,256,26,40,65,20,40,50,13,31,41.9,11,34,32.4,11,24,45.8,22,58,37.9,28,87,32.2,,
Marvin Bagley III,SAC,22,416,121,180,67.2,47,119,39.5,7,21,33.3,15,30,50,3,13,23.1,18,43,41.9,16,53,30.2,,
Mason Plumlee,DET,31,324,159,211,75.4,29,76,38.2,8,30,26.7,0,2,0,0,2,0,0,4,0,0,3,0,,
Michael Carter-Williams,ORL,29,229,50,88,56.8,23,75,30.7,3,19,15.8,3,7,42.9,2,5,40,5,12,41.7,6,35,17.1,,
Michael Porter Jr.,DEN,22,462,99,134,73.9,26,55,47.3,27,59,45.8,20,40,50,13,25,52,33,65,50.8,63,149,42.3,,
Mikal Bridges,PHX,24,462,112,144,77.8,35,81,43.2,12,27,44.4,27,54,50,28,69,40.6,55,123,44.7,31,87,35.6,,
Mike Conley,UTA,33,500,43,75,57.3,61,120,50.8,13,40,32.5,8,11,72.7,17,44,38.6,25,55,45.5,88,210,41.9,,
Mike Muscala,OKC,29,266,26,41,63.4,12,18,66.7,13,25,52,11,28,39.3,9,20,45,20,48,41.7,48,134,35.8,,
Miles Bridges,CHA,23,369,99,142,69.7,16,39,41,4,22,18.2,14,34,41.2,10,28,35.7,24,62,38.7,40,104,38.5,,
Monte Morris,DEN,25,312,62,84,73.8,24,63,38.1,21,50,42,3,19,15.8,4,15,26.7,7,34,20.6,34,81,42,,
Montrezl Harrell,LAL,27,488,230,310,74.2,51,109,46.8,26,59,44.1,0,1,0,0,0,0,0,1,0,0,9,0,,
Myles Turner,IND,25,418,107,158,67.7,23,45,51.1,5,17,29.4,6,19,31.6,8,28,28.6,14,47,29.8,52,151,34.4,,
Naz Reid,MIN,21,394,122,184,66.3,41,88,46.6,1,8,12.5,5,17,29.4,4,9,44.4,9,26,34.6,32,88,36.4,,
Nickeil Alexander-Walker,NOP,22,378,54,108,50,20,41,48.8,19,42,45.2,11,28,39.3,13,33,39.4,24,61,39.3,41,126,32.5,,
Nicolas Batum,LAC,32,299,35,54,64.8,2,8,25,14,34,41.2,22,53,41.5,19,41,46.3,41,94,43.6,45,109,41.3,,
Nikola Jokic,DEN,26,895,181,263,68.8,166,295,56.3,88,169,52.1,2,2,100,1,4,25,3,6,50,70,162,43.2,,
Nikola Vucevic,CHI,30,986,111,163,68.1,118,245,48.2,125,269,46.5,2,4,50,0,1,0,2,5,40,121,304,39.8,,
Norman Powell,POR,27,622,131,209,62.7,27,72,37.5,22,50,44,30,55,54.5,22,43,51.2,52,98,53.1,76,193,39.4,,
OG Anunoby,TOR,23,362,79,117,67.5,13,38,34.2,9,23,39.1,18,39,46.2,18,44,40.9,36,83,43.4,37,101,36.6,,
Otto Porter Jr.,ORL,27,226,29,40,72.5,12,38,31.6,18,46,39.1,9,20,45,6,11,54.5,15,31,48.4,24,71,33.8,,
P.J. Washington,CHA,22,433,85,161,52.8,37,90,41.1,5,23,21.7,10,18,55.6,8,19,42.1,18,37,48.6,42,122,34.4,,
Pascal Siakam,TOR,27,664,139,229,60.7,76,173,43.9,35,87,40.2,3,20,15,8,20,40,11,40,27.5,41,135,30.4,,
Pat Connaughton,MIL,28,252,45,69,65.2,2,8,25,0,7,0,3,9,33.3,10,28,35.7,13,37,35.1,53,131,40.5,,
Patrick Williams,CHI,19,374,77,117,65.8,30,73,41.1,34,83,41,10,23,43.5,11,24,45.8,21,47,44.7,17,54,31.5,,
Patty Mills,SAS,32,470,41,71,57.7,6,18,33.3,29,58,50,15,32,46.9,11,24,45.8,26,56,46.4,100,267,37.5,,
Paul George,LAC,30,633,81,138,58.7,39,99,39.4,59,118,50,13,23,56.5,20,33,60.6,33,56,58.9,86,222,38.7,,
Paul Millsap,DEN,36,271,68,95,71.6,23,55,41.8,5,16,31.3,6,11,54.5,8,14,57.1,14,25,56,26,80,32.5,,
Payton Pritchard,BOS,23,258,30,51,58.8,18,37,48.6,9,26,34.6,8,15,53.3,6,13,46.2,14,28,50,45,116,38.8,,
PJ Dozier,DEN,24,204,38,60,63.3,10,36,27.8,7,23,30.4,4,11,36.4,3,13,23.1,7,24,29.2,23,61,37.7,,
Raul Neto,WAS,28,308,36,70,51.4,49,96,51,12,30,40,2,8,25,4,18,22.2,6,26,23.1,34,86,39.5,,
Reggie Bullock,NYK,30,352,20,38,52.6,13,23,56.5,22,52,42.3,17,42,40.5,11,29,37.9,28,71,39.4,69,168,41.1,,
Reggie Jackson,LAC,30,375,49,77,63.6,30,75,40,17,49,34.7,12,22,54.5,8,19,42.1,20,41,48.8,52,133,39.1,,
Richaun Holmes,SAC,27,439,147,202,72.8,94,159,59.1,39,70,55.7,0,0,0,0,1,0,0,1,0,2,7,28.6,,
Ricky Rubio,MIN,30,332,51,89,57.3,25,65,38.5,14,48,29.2,8,27,29.6,9,18,50,17,45,37.8,20,85,23.5,,
RJ Barrett,NYK,20,747,178,314,56.7,54,156,34.6,37,98,37.8,18,37,48.6,14,45,31.1,32,82,39,32,97,33,,
Robert Covington,POR,30,356,37,63,58.7,5,22,22.7,5,16,31.3,4,13,30.8,6,22,27.3,10,35,28.6,91,220,41.4,,
Robert Williams III,BOS,23,206,121,152,79.6,23,35,65.7,7,19,36.8,0,0,0,0,0,0,0,0,-,0,0,0,,
Robin Lopez,WAS,33,278,91,133,68.4,69,120,57.5,4,8,50,2,11,18.2,0,2,0,2,13,15.4,3,4,75,,
Rodney Hood,TOR,28,216,13,25,52,13,45,28.9,26,53,49.1,3,13,23.1,5,21,23.8,8,34,23.5,20,59,33.9,,
Royce O'Neale,UTA,27,277,38,55,69.1,4,14,28.6,0,4,0,15,31,48.4,17,39,43.6,32,70,45.7,47,134,35.1,,
Rudy Gay,SAS,34,406,34,63,54,32,76,42.1,33,91,36.3,4,14,28.6,8,21,38.1,12,35,34.3,58,141,41.1,,
Rudy Gobert,UTA,28,417,265,359,73.8,9,51,17.6,1,6,16.7,0,1,0,0,0,0,0,1,0,0,0,0,,
Rui Hachimura,WAS,23,455,85,126,67.5,58,121,47.9,40,105,38.1,4,14,28.6,5,17,29.4,9,31,29,26,72,36.1,,
Russell Westbrook,WAS,32,804,124,196,63.3,74,176,42,93,252,36.9,5,15,33.3,5,11,45.5,10,26,38.5,46,154,29.9,,
Saddiq Bey,DET,21,408,37,66,56.1,15,43,34.9,6,21,28.6,23,47,48.9,6,21,28.6,29,68,42.6,75,210,35.7,,
Serge Ibaka,LAC,31,347,77,107,72,34,83,41,27,49,55.1,0,2,0,1,6,16.7,1,8,12.5,37,100,37,,
Seth Curry,PHI,30,390,22,44,50,26,52,50,48,102,47.1,8,18,44.4,11,17,64.7,19,35,54.3,63,157,40.1,,
Shai Gilgeous-Alexander,OKC,22,565,137,223,61.4,61,123,49.6,18,49,36.7,6,9,66.7,2,9,22.2,8,18,44.4,63,152,41.4,,
Shake Milton,PHI,24,472,59,111,53.2,62,127,48.8,49,97,50.5,4,15,26.7,8,10,80,12,25,48,33,112,29.5,,
Stephen Curry,GSW,33,847,102,162,63,63,114,55.3,46,97,47.4,5,23,21.7,8,18,44.4,13,41,31.7,183,433,42.3,,
Sterling Brown,HOU,26,315,43,75,57.3,10,25,40,3,14,21.4,21,56,37.5,13,33,39.4,34,89,38.2,51,112,45.5,,
Steven Adams,NOP,27,247,127,184,69,28,59,47.5,1,4,25,0,0,0,0,0,0,0,0,-,0,0,0,,
Svi Mykhailiuk,OKC,23,309,37,59,62.7,3,20,15,11,15,73.3,12,29,41.4,7,18,38.9,19,47,40.4,53,168,31.5,,
T.J. McConnell,IND,29,292,68,118,57.6,62,108,57.4,23,42,54.8,1,2,50,3,8,37.5,4,10,40,3,14,21.4,,
Talen Horton-Tucker,LAL,20,331,107,174,61.5,15,51,29.4,5,21,23.8,0,11,0,4,12,33.3,4,23,17.4,17,62,27.4,,
Taurean Prince,CLE,27,246,25,56,44.6,12,41,29.3,11,32,34.4,9,20,45,7,15,46.7,16,35,45.7,29,82,35.4,,
Terance Mann,LAC,24,237,77,110,70,13,46,28.3,5,25,20,5,9,55.6,11,28,39.3,16,37,43.2,6,19,31.6,,
Terence Davis,SAC,23,262,41,70,58.6,8,22,36.4,3,11,27.3,11,27,40.7,6,11,54.5,17,38,44.7,41,121,33.9,,
Terrence Ross,ORL,30,556,26,40,65,36,97,37.1,78,174,44.8,4,15,26.7,4,11,36.4,8,26,30.8,77,219,35.2,,
Terry Rozier,CHA,27,727,93,159,58.5,54,108,50,38,82,46.3,26,54,48.1,18,41,43.9,44,95,46.3,111,283,39.2,,
Thaddeus Young,CHI,32,424,165,240,68.8,76,147,51.7,3,13,23.1,4,13,30.8,0,1,0,4,14,28.6,2,10,20,,
Theo Maledon,OKC,19,376,32,81,39.5,24,63,38.1,12,33,36.4,7,22,31.8,5,8,62.5,12,30,40,62,169,36.7,,
Tim Hardaway Jr.,DAL,29,629,81,123,65.9,21,59,35.6,37,87,42.5,12,26,46.2,17,41,41.5,29,67,43.3,114,293,38.9,,
Timothe Luwawu-Cabarrot,BKN,25,276,32,65,49.2,4,14,28.6,4,13,30.8,10,30,33.3,12,36,33.3,22,66,33.3,39,118,33.1,,
Tobias Harris,PHI,28,692,124,185,67,110,207,53.1,64,138,46.4,4,13,30.8,12,21,57.1,16,34,47.1,49,128,38.3,,
Tomas Satoransky,CHI,29,214,49,67,73.1,20,48,41.7,12,24,50,8,13,61.5,8,18,44.4,16,31,51.6,16,44,36.4,,
Trae Young,ATL,22,828,92,169,54.4,116,262,44.3,39,90,43.3,4,8,50,2,9,22.2,6,17,35.3,104,290,35.9,,
Trey Burke,DAL,28,257,26,43,60.5,14,31,45.2,28,57,49.1,7,17,41.2,4,16,25,11,33,33.3,36,93,38.7,,
Tristan Thompson,BOS,30,221,69,122,56.6,48,93,51.6,2,5,40,0,0,0,0,0,0,0,0,-,0,1,0,,
Tyler Herro,MIA,21,530,74,114,64.9,34,87,39.1,45,109,41.3,3,10,30,5,14,35.7,8,24,33.3,64,196,32.7,,
Tyrese Haliburton,SAC,21,469,50,72,69.4,52,101,51.5,29,69,42,18,39,46.2,12,31,38.7,30,70,42.9,67,157,42.7,,
Tyrese Maxey,PHI,20,287,48,84,57.1,32,66,48.5,31,71,43.7,0,6,0,0,2,0,0,8,0,19,58,32.8,,
Tyus Jones,MEM,24,316,29,54,53.7,57,111,51.4,19,46,41.3,5,20,25,3,11,27.3,8,31,25.8,23,74,31.1,,
Victor Oladipo,MIA,28,554,92,153,60.1,35,92,38,22,77,28.6,8,20,40,2,16,12.5,10,36,27.8,65,196,33.2,,
Wayne Ellington,DET,33,281,19,28,67.9,3,6,50,9,24,37.5,8,24,33.3,8,24,33.3,16,48,33.3,79,175,45.1,,
Wendell Carter Jr.,ORL,21,299,91,139,65.5,38,81,46.9,19,49,38.8,3,5,60,0,0,0,3,5,60,6,25,24,,
Will Barton,DEN,30,500,81,145,55.9,32,91,35.2,23,55,41.8,11,19,57.9,10,18,55.6,21,37,56.8,58,172,33.7,,
Zach LaVine,CHI,26,900,210,317,66.2,33,75,44,60,136,44.1,23,37,62.2,9,24,37.5,32,61,52.5,125,311,40.2,,
Zion Williamson,NOP,20,712,394,585,67.4,40,96,41.7,2,8,25,1,1,100,0,0,0,1,1,100,7,22,31.8,,
